here	Time	NOW IS HERE
here	Time	TIME IS A MOVING OBJECT
Hiding	Taxation	KEEPING ASSETS FROM BEING TAXED IS PLACING OBJECTS IN PROTECTED LOCATION
Hunger	Desire	DESIRE IS HUNGER
Hunger	Greed	GREED IS HUNGER
Impurity	Immorality	IMMORALITY IS IMPURITY
Insanity	Advocacy	FERVENT ADVOCACY IS INSANITY
Insanity	Anger	ANGER IS INSANITY
Insanity	Gun control	ADVOCATING GUN CONTROL IS INSANITY
Investment	Taxation	TAXATION IS INVESTMENT
Journey	Activity	ACTIVITIES ARE JOURNEYS
Journey	Cancer	CANCER IS A JOURNEY
Journey	Life	LIFE IS A JOURNEY
Leadership	Government	GOVERNMENT IS A LEADER
Lightness	Goodness	GOODNESS IS LIGHT
Liquid	Category	IDEA SYSTEMS ARE FLUID MASSES
Liquid	Money	MONEY IS A LIQUID
Liquid	Resource	RESOURCE IS A LIQUID
living entities	Business	BUSINESSES ARE LIVING ENTITIES
living entities	Ideology	POLITICAL IDEOLOGIES ARE LIVING ENTITIES
living entities	Law	LAWS ARE LIVING ENTITIES
Location	Opportunities	AIDS TO USING EDUCATIONAL OPPORTUNITIES ARE AIDS TO ACCESSING LOCATIONS ALONG A PATH
Location	Opportunities	INABILITY TO UTILIZE EDUCATIONAL OPPORTUNITY IS INABILITY TO ACCESS A LOCATION
Location	Opportunities	OPPORTUNITIES ARE LOCATIONS
locations	State	STATES ARE LOCATIONS
Losing	Control	TERMINATION OF CONTROL IS LOSS OF A POSSESSION
loss	Change of state	CHANGE IS LOSS
Machine	Bureaucracy	NONFUNCTIONAL BUREAUCRACY IS A BROKEN MACHINE
Machine	Bureaucracy	BUREAUCRATS ARE MACHINE PARTS
Machine	Bureaucracy	BUREAUCRACY IS A MACHINE
Machine	Bureaucracy	WELL-FUNCTIONING BUREAUCRACY IS A SMOOTHLY FUNCTIONING MACHINE
Machine	Economy	ECONOMY IS A MACHINE
Machine	Institution	INSTITUTION IS A MACHINE
Machine	Institution	GOVERNMENT INSTITUTION IS A MACHINE
Machine	Institution	EFFECTIVE GOVERNMENT INSTITUTION IS A WELL-FUNCTIONING MACHINE
Machine	Legislative branch	NONFUNCTIONAL LEGISLATURE IS A BROKEN MACHINE
Machine	Legislative branch	LEGISLATURE IS A MACHINE
Machine	Mind	MIND IS A MACHINE
Machine	Nation	NATION IS A MACHINE
Machine	Organization	ORGANIZATION IS A MACHINE
Magic	guns	GUNS ARE MAGICAL
Making	Creating	CREATING IS MAKING
Mass	Multiplex	MULTIPLICITY IS MASS
Maze	Bureaucracy	BUREACRACY IS A MAZE
Maze	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONFUSING PATHS TO MOVING OUT OF A LOCATION
Measuring	Evaluation	ASSESSING IS MEASURING
Meeting	Democracy	DEMOCRACY IS A TOWN MEETING
Money	Time	TIME IS MONEY
Motion	Action	EASE OF ACTION IS EASE OF MOTION ALONG A PATH
motion	Action	GOVERNING ACTION IS MOTION
Motion	Action	CAUSED INABILITY TO ACT IS PREVENTION OF MOTION ALONG A PATH
Motion	Action	SEQUENCE OF ACTIONS IS A SEQUENCE OF MOVEMENTS
Motion	Action	ACTION IS MOTION
Motion	Action	ACTION IS MOTION ALONG A PATH
Motion	Curriculum	CURRICULUM IS A FIXED PATH
Motion	Emotion	WORSENING MOOD IS DOWNWARD MOTION
Motion	Emotion	CHANGE IN MOOD IS VERTICAL MOVEMENT
Motion	Emotion	IMPROVEMENT IN MOOD IS UPWARD MOTION
Motion	Legislative action	ALTERNATIVE LEGISLATION IS ALTERNATIVE PATH
Motion	Legislative action	AMOUNT OF PROGRESS TOWARD ENACTING LEGISLATION IS DISTANCE MOVED ALONG A PATH
Motion	Legislative action	LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH
Motion	Life	DIFFICULTIES IN PROGRESSING THROUGH LIFE ARE IMPEDIMENTS TO MOTION ALONG A PATH
Motion	Life	PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH
Motion	Life	LIFE IS A SEQUENCE OF MOTIONS
Motion	Money	MONEY TRANSFER IS FLUID MOTION
Motion	Power	ACHIEVING POWER IS MOVING UPWARDS
Motion	Quantity	DECREASE IN QUANTITY IS DOWNWARD MOTION
Motion	Quantity	INCREASE IN QUANTITY IS UPWARD MOTION
Motion	Taxation	TAXATION IS FORCEFUL REMOVAL OF A SUBSTANCE
Motion	Thinking about	THINKING IS MOVING
Motion	Time	TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES
Natural disaster	guns	GUNS ARE A NATURAL DISASTER
Natural process	Market	MARKET IS A NATURAL PROCESS
Natural process	Taxation	INCREASE IN TAXATION IS OCCURENCE OF SUDDEN DESTRUCTIVE NATURAL FORCE
Natural resource	Resource	ECONOMIC RESOURCE IS A LIMITED NATURAL RESOURCE
Nuclear family	Government	GOVERNMENT IS A PARENT
Nuclear family	Market	LIBERAL MARKET IS A NURTURANT PARENT FAMILY
Nuclear family	Market	LAISSEZ-FAIRE MARKET IS A STRICT FATHER FAMILY
Nuclear family	Morality	MORAL AGENTS ARE NURTURING PARENTS
Nuclear family	Nature	NATURE IS A STRICT FATHER
Nurturance	Morality	MORAL ACTION IS NURTURANCE
Object	Career	CAREER IS A COMPLEX STRUCTURE
Object	Category	IDEA SYSTEMS ARE COMPLEX PHYSICAL SYSTEMS
Object	Company	COMPANY IS A COMPLEX STRUCTURE
Object	Economy	ECONOMY IS A COMPLEX STRUCTURE
Object	Education	EDUCATION IS COMPONENT OF BUILDING
Object	Education	EDUCATION IS AN OBJECT
Object	Emotion	EMOTIONS ARE OBJECTS
Object	Event	EVENTS ARE OBJECTS
Object	Force	FORCES ARE OBJECTS
Object	Idea	IDEAS ARE OBJECTS
Object	Importance	IMPORTANCE IS WEIGHT
Object	Institution	INSTITUTION IS A COMPLEX PHYSICAL OBJECT
Object	Institution	GOVERNMENT INSTITUTION IS A PHYSICAL STRUCTURE
Object	Law	LAWS ARE OBJECTS
Object	Law	LAWS ARE PHYSICAL STRUCTURES
Object	life	LIFE IS A COMPLEX STRUCTURE
Object	Mind	MIND IS A PHYSICAL STRUCTURE
Object	Nation	NATION IS A COMPLEX STRUCTURE
Object	Nation	NATION IS AN OBJECT
Object	Opportunities	OPPORTUNITIES ARE OBJECTS
Object	Organization	ORGANIZATION IS PHYSICAL STRUCTURE
Object	Poverty	AMOUNT OF POVERTY IS SIZE OF GEOGRAPHIC FEATURE
Object	Power	LEGITIMATE POWER IS AN ENTRUSTED OBJECT
Object	Problem	SOCIAL PROBLEMS ARE ANIMATE ENTITIES
Object	Relationship	RELATIONSHIPS ARE COMPLEX STRUCTURES
Object	Relationship	RELATIONSHIPS ARE OBJECTS
Object	Relationship	RELATIONSHIPS ARE PHYSICAL STRUCTURES
Object	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS DAMAGING A PHYSICAL STRUCTURE
Object	Rights	CITIZEN RIGHTS ARE PHYSICAL STRUCTURES
Object	Rights	GUN RIGHTS ARE VALUABLE POSSESSIONS
Object	Social group	SOCIAL GROUPS ARE COMPLEX STRUCTURES
Object	Society	SOCIETY IS A COMPLEX STRUCTURE
Object	Theory	THEORIES ARE COMPLEX STRUCTURES
Obscenity	Wealth	EXCESS WEALTH IS OBSCENE
ocean	Ocean	GOVERNMENT DEBT IS OCEAN
octopus	Bureaucracy	BUREACRACY IS AN OCTOPUS
organism	Debt	DEBT IS AN ORGANISM
organism	government	GOVERNMENT IS AN ORGANISM
organism	Institution	INSTITUTION IS AN ORGANISM
organisms	Ideology	IDEOLOGIES ARE ORGANISMS
Parasite	Corruption	CORRUPTION IS A TERMITE INFESTATION
Parasite	Government	GOVERNMENT IS A LEECH
Parasite	Impoverished	ENTITLEMENT HOLDERS ARE LEECHES
Partnership	Democracy	DEMOCRACY IS AN EQUAL PARTNERSHIP
paths	means	MEANS ARE PATHS
paths	Scale	SCALES ARE PATHS
patient	government	GOVERNMENT IS A PATIENT
Perception	Knowing	KNOWING IS PERCEIVING
Perception	Thinking about	THINKING IS PERCEIVING
Persistence	Erectness	PERSISTING IS REMAINING ERECT
Person	Computer	COMPUTERS ARE PEOPLE
Person	Corporation	CORPORATIONS ARE PEOPLE
Person	Government	CITIZENS ARE EYES AND EARS
Person	Government	GOVERNMENT IS A PERSON
Person	Government	GOVERNMENT IS A SLAVE MASTER
Person	Idea	IDEAS ARE PEOPLE
Person	Institution	INSTITUTIONS ARE PEOPLE
Person	Machine	MACHINES ARE PEOPLE
Person	Nation	NATION IS A PERSON
Person	Political party	POLITICAL PARTIES ARE PEOPLE
Person	Society	SOCIETY IS A PERSON
Person	Society	SOCIAL FUNCTIONING IS PHYSICAL HEALTH
Pest	guns	GUNS ARE PESTS
Physical entity	Resource	AUGMENTING ECONOMIC ASSETS IS CREATING OBJECTS
Physical entity	Resource	ECONOMIC RESOURCES ARE PHYSICAL ENTITIES
Physical entity	Rights	RIGHTS ARE PHYSICAL ENTITIES
Physical entity	State	STATES ARE PHYSICAL OBJECTS
physical growth	Morality	MORAL GROWTH IS PHYSICAL GROWTH
Physical path	Change of state	MEANS OF IMPROVING ECONOMIC STATUS ARE PATHS TO MOVING OUT OF A LOCATION
Physical path	Opportunities	OPPORTUNITIES ARE PATHS
Physical strength	Legislative action	GREATER DEGREE OF GUN CONTROL IS STRONGER PHYSICAL RESTRAINT
Physical strength	Morality	MORALITY IS STRENGTH
Plants	democracy	DEMOCRACY IS A PLANT
Plants	Law	LAWS ARE PLANTS
Plants	Organization	SOCIAL ORGANIZATIONS ARE PLANTS
Plants	Person	PEOPLE ARE PLANTS
Plants	Poverty	POVERTY IS A PLANT
pointing	Communication	COMMUNICATING IS POINTING
policeman	Government	GOVERNMENT IS A POLICEMAN
Portals	Opportunities	PREVENTING UTILIZATION OF EDUCATIONAL RESOURCES IS CLOSING A PORTAL
Portals	Opportunities	OPPORTUNITIES ARE PORTALS
Possession	Attribute	ATTRIBUTES ARE POSSESSIONS
Possession	Belief	BELIEFS ARE POSSESSIONS
Possession	Change of state	CHANGE OF STATE IS CHANGE OF POSSESSION
Possession	Control	CONTROL IS A POSSESSION
Possession	Freedom	FREEDOM IS A VALUABLE POSSESSION
Possession	Group	GROUPS ARE POSSESSORS
Possession	Idea	IDEAS ARE POSSESSIONS
Possession	Life	LIFE IS A PRECIOUS POSSESSION
Possession	Power	POWER IS A POSSESSED OBJECT
Possession	Rights	ENJOYING A RIGHT IS POSSESSING AN OBJECT
Possession	Rights	CITIZEN RIGHTS ARE POSSESSIONS
Possession	wholes	WHOLES ARE POSSESSORS
possessions	Rights	RIGHTS ARE POSSESSIONS
Process	Action	ACTION IS BEING IN A LOCATION
Process	Existence	EXISTING IS BEING PHYSICALLY AT THIS LOCATION
Process	Impoverished	BEING IMPOVERISHED IS BEING AT A LOW LOCATION
Process	Impoverished	BEING IMPOVERISHED IS BEING IN A BOUNDED REGION
Process	Life cycle	BEING ALIVE IS BEING PHYSICALLY AT THIS LOCATION
Protecting	Rights	RIGHTS ARE SHIELDS FROM HARM
Protecting	Rights	CITIZEN RIGHTS ARE SHIELDS FROM HARM
Proximity	Agreement	AGREEMENT IS PHYSICAL PROXIMITY
Proximity	Intimacy	EMOTIONAL INTIMACY IS PHYSICAL PROXIMITY
Proximity	relatedness	RELATEDNESS IS PROXIMITY
proximity	Similarity	SIMILARITY IS PROXIMITY
Proximity	Similarity	DEGREE OF SIMILARITY IS DEGREE OF PROXIMITY
Punishment	Taxation	TAXATION IS PUNISHMENT
Purity	Morality	MORALITY IS PURITY
Race	Competition	COMPETITION IS A RACE
Race	Election	PHASE OF AN ELECTION IS LEG IN A RACE
Race	Election	LOSING AN ELECTION IS LOSING A RACE
Race	Election	ELECTION IS A RACE
Race	Election	WINNING AN ELECTION IS WINNING A RACE
Region	Activity	ACTIVITIES ARE BOUNDED REGIONS IN SPACE
Region	Category	CATEGORIES ARE BOUNDED REGIONS
Region	Control	CONTROL IS A BOUNDED REGION
Region	Nation	STATE OF NATION IS LOCATION ALONG PATH
Region	Relationship	RELATIONSHIP IS A BOUNDED REGION IN SPACE
Region	Social group	SOCIAL GROUP IS A BOUNDED REGION
Relationship	Democracy	DEMOCRATIC DECISION-MAKING IS PARTNERSHIP DECISION-MAKING
Resource	Education	EDUCATION IS A RESOURCE
Resource	Finance	FINANCIAL RESOURCES ARE PHYSICAL RESOURCES
Resource	Labor	LABOR IS A RESOURCE
resource	money	MONEY IS A RESOURCE
Resource	Nature	NATURE IS A RESOURCE
Resource	Opportunities	PROVIDE EDUCATIONAL OPPORTUNITY IS PROVIDING A RESOURCE
Resource	Time	TIME IS A RESOURCE
Resource	Wealth	WEALTH REDISTRIBUTION IS RESOURCE TRANSFER
Resource	Wealth	WEALTH IS A RESOURCE
Restraints	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONSTRUCTED RESTRAINTS
Restraints	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ENVIRONMENTAL RESTRAINTS
Restraints	Gun control	GUN CONTROL IS PHYSICAL RESTRAINT
Restraints	Law	GUN CONTROL LEGISLATION IS PHYSICAL RESTRAINT
Restraints	Law	LAWS ARE PHYSICAL RESTRAINTS
Restraints	Legislative action	LESSER DEGREE OF GUN CONTROL LEGISLATION IS WEAKER PHYSICAL RESTRAINT
Scale	Social class	BEING IN A MIDDLE CLASS IS BEING IN THE MIDDLE OF A SCALE
Scale	Social class	BEING IN A LOW SOCIAL CLASS IS BEING LOW ON A SCALE
Scale	Social group	ECONOMIC STATUS IS A POINT ON A SCALE
Scale	Wealth	BEING WEALTHY IS BEING AT A HIGH LOCATION
Scale	Wealth	WEALTH IS LINEAR SPATIAL SCALE
Searching	Knowing	SEEKING KNOWLEDGE IS SEARCHING
Seeing	Evaluation	ABILITY TO EVALUATE IS ABILITY TO SEE
Seeing	Evaluation	ABILITY TO EVALUATE GOVERNMENT IS ABILITY TO SEE
Seeing	Knowing	ABILITY TO KNOW IS ABILITY TO SEE
Seeing	Knowing	AID TO KNOWING IS A LIGHT SOURCE
Seeing	Knowing	KNOWING IS SEEING
Sentence	Idea	COMPLEX IDEAS ARE SENTENCES
Separation	Argument	DISAGREEMENT IS DIVISION
Servant	Government	GOVERNMENT IS A SERVANT
Servitude	Nation	CITIZENS ARE SLAVES
Servitude	Taxation	TAXATION IS SLAVERY
Shepherding	Government	GOVERNMENT IS A SHEPHERD
showing	Communication	COMMUNICATING IS SHOWING
showing	Communication	COMMUNICATING IS DRAWING A PICTURE
showing	Reasoning	PROVING IS SHOWING
