#Source	#Target	#ConceptualMetaphor
Parental_authority	Moral_authority	MORAL AUTHORITY IS PARENTAL AUTHORITY
Nurturance	Morality	MORAL AGENTS ARE NURTURING PARENTS
Nurturance	Morality	MORAL ACTION IS NURTURANCE
Fluid motion	Money	MONEY TRANSFER IS FLUID MOTION
Substance	Money	MONEY IS A SUBSTANCE
resource	money	MONEY IS A RESOURCE
Liquid	Money	MONEY IS A LIQUID
Object	Mind	MIND IS A PHYSICAL STRUCTURE
Machine	Mind	MIND IS A MACHINE
Containment	Mind	MIND IS A CONTAINER
Computer	Mind	MIND IS A COMPUTER
Building	Mind	MIND IS A BUILDING
body	Cognizing	MIND IS A BODY
Writing	Memorization	MEMORIZATION IS WRITING
Physical path	Change of state	MEANS OF IMPROVING ECONOMIC STATUS ARE PATHS TO MOVING OUT OF A LOCATION
paths	Action	MEANS ARE PATHS
Textile	Marriage	MARRIAGE IS CLOTH
Actor	Market	MARKET IS AN ACTOR
Natural process	Market	MARKET IS A NATURAL PROCESS
Family	Market	MARKET IS A FAMILY
Causation	Action	MANNER OF ACTION IS MANNER OF MOVEMENT
Causation	Relationship	MAKING RELATED IS CAUSING CONTACT
Weighing	Decision making	MAKING A DECISION IS WEIGHING
Grasp	Social status	MAINTAINING HIGHER SOCIAL STATUS IS MAINTAINING HOLD ON PHYSICAL POSITION
Person	Machine	MACHINES ARE PEOPLE
Verticality	Status	LOW STATUS IS DOWN
War	Election	LOSING AN ELECTION IS LOSING A WAR
Race	Election	LOSING AN ELECTION IS LOSING A RACE
Competition	Election	LOSING AN ELECTION IS LOSING A BOXING MATCH
Object	Logical structure	LOGICAL STRUCTURES ARE ERECT COMPLEX STRUCTURES
Verticality	Life cycle	LIFE IS VERTICALITY
Motion	Life	LIFE IS A SEQUENCE OF MOTIONS
Possession	Life	LIFE IS A PRECIOUS POSSESSION
Journey	Life	LIFE IS A JOURNEY
Object	Organization	LIFE IS A COMPLEX STRUCTURE
Family	Market	LIBERAL MARKET IS A NURTURANT PARENT FAMILY
Restraints	Law	LESSER DEGREE OF GUN CONTROL LEGISLATION IS WEAKER PHYSICAL RESTRAINT
Size	Quantity	LESS IS SMALL
Verticality	Quantity	LESS IS DOWN
Object	Power	LEGITIMATE POWER IS AN ENTRUSTED OBJECT
Machine	Legislative branch	LEGISLATURE IS A MACHINE
Motion	Legislative action	LEGISLATIVE ACTIVITY IS MOTION ALONG A PATH
Nutritious food	Learning	LEARNING IS GETTING NUTRITIOUS FOOD
acquiring	Learning	LEARNING IS ACQUIRING
Causation	Leadership	LEADING IS A FORCE MOVING AN OBJECT FORWARD
Causation	Leadership	LEADING A NATION IS STEERING A BOAT
Causation	Leadership	LEADING A NATION IS DRIVING A VEHICLE
Causation	Leadership	LEADING A GROUP IS DRIVING A VEHICLE
Plants	Law	LAWS ARE PLANTS
Object	Law	LAWS ARE PHYSICAL STRUCTURES
Restraints	Law	LAWS ARE PHYSICAL RESTRAINTS
Object	Law	LAWS ARE OBJECTS
Object	Law	LAWS ARE LIVING ENTITIES
Family	Market	LAISSEZ-FAIRE MARKET IS A STRICT FATHER FAMILY
Resource	Labor	LABOR IS A RESOURCE
Touching	Knowing	KNOWING IS TOUCHING
Seeing	Knowing	KNOWING IS SEEING
Perception	Knowing	KNOWING IS PERCEIVING
Physical entity	Taxation	KEEPING ASSETS FROM BEING TAXED IS PLACING OBJECTS IN PROTECTED LOCATION
Physical connection	Spatial relation	INTERRELATEDNESS IS PHYSICAL INTERCONNECTEDNESS
Relationship	International Relations	INTERNATIONAL RELATIONS ARE INTERPERSONAL RELATIONSHIPS
connection	international association	INTERNATIONAL ASSOCIATION IS CONNECTION
Food	Idea	INTERESTING IDEAS ARE APPETIZING FOODS
Food	Idea	INTEREST IN IDEAS IS APPETITE FOR FOOD
Heat	Activity	INTENSITY OF ACTIVITY IS HEAT
Scale	Wealth	INSURMOUNTABLE DIFFERENCES IN WEALTH IS BARRIER TO ACCESSING A LOCATION
Person	Institution	INSTITUTIONS ARE PEOPLE
Building	Institution	INSTITUTIONS ARE BUILDINGS
Object	Institution	INSTITUTION IS AN ORGANISM
Vehicle	Institution	INSTITUTION IS A VEHICLE
Machine	Institution	INSTITUTION IS A MACHINE
Factory	Institution	INSTITUTION IS A FACTORY
Object	Institution	INSTITUTION IS A COMPLEX PHYSICAL OBJECT
Business	Institution	INSTITUTION IS A BUSINESS
Causation	Legislative action	INHIBITTING ENACTMENT OF LEGISLATION IS IMPEDING MOTION
Contents	Information	INFORMATION IS CONTENTS
Body weight	Government	INEFFICIENT GOVERNMENT IS A BLOATED BODY
Business	Government	INEFFECTIVE GOVERNMENT IS A POORLY-MANAGED BUSINESS
Force	Taxation	INCREASE IN TAXATION IS OCCURENCE OF SUDDEN DESTRUCTIVE NATURAL FORCE
Upward motion	Quantity	INCREASE IN QUANTITY IS UPWARD MOTION
Disease	Crime	INCREASE IN CRIME IS SPREAD OF DISEASE
Causation	Action	INCITING GOVERNING ACTION IS FORCED MOVEMENT
Location	Opportunities	INABILITY TO UTILIZE EDUCATIONAL OPPORTUNITY IS INABILITY TO ACCESS A LOCATION
Upward motion	Change of state	IMPROVING ECONOMIC STATUS IS UPWARD MOTION
change of location	Change of state	IMPROVING ECONOMIC STATUS IS MOVING OUT OF A LOCATION
Upward motion	Emotion	IMPROVEMENT IN MOOD IS UPWARD MOTION
central	Importance	IMPORTANT IS CENTRAL
Object	Importance	IMPORTANCE IS WEIGHT
Size	Importance	IMPORTANCE IS SIZE
Location	Opportunities	IMPEDIMENTS TO UTILIZING EDUCATIONAL OPPORTUNITIES IS OBSTACLES TO ACCESSING A LOCATION
Action	Opportunities	IMPEDIMENTS TO UTILIZING EDUCATIONAL OPPORTUNITIES IS ANTAGONISTIC FORCE
Confinement	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS WATER CONFINEMENT
Causation	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL IMPEDIMENTS TO MOTION
Burden	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS PHYSICAL BURDEN
Harm	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS EXPERIENCING A PHYSICAL AFFLICTION
Restraints	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ENVIRONMENTAL RESTRAINTS
Confinement	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ENVIRONMENTAL CONFINEMENT
Restraints	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONSTRUCTED RESTRAINTS
Confinement	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONSTRUCTED CONFINEMENT
Maze	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS CONFUSING PATHS TO MOVING OUT OF A LOCATION
Action	Change of state	IMPEDIMENTS TO IMPROVING ECONOMIC STATUS IS ANTAGONISTIC FORCE
Impurity	Immorality	IMMORALITY IS IMPURITY
Disease	Morality	IMMORALITY IS DISEASE
Degeneration	Immorality	IMMORALITY IS DEGENERATION
Straightness	Morality	IMMORAL IS CROOKED
Object	Ideology	IDEOLOGIES ARE ORGANISMS
Possession	Idea	IDEAS ARE POSSESSIONS
Person	Idea	IDEAS ARE PEOPLE
Object	Idea	IDEAS ARE OBJECTS
Food	Idea	IDEAS ARE FOOD
Liquid	Category	IDEA SYSTEMS ARE FLUID MASSES
Object	Category	IDEA SYSTEMS ARE COMPLEX PHYSICAL SYSTEMS
blood	household income	HOUSEHOLD INCOME IS BLOOD
Verticality	Status	HIGH STATUS IS UP
Vertical_structure	Hierarchy	HIERARCHY IS A VERTICAL STRUCTURE
Support	help	HELP IS PHYSICAL SUPPORT
Verticality	Health	HEALTH IS VERTICALITY
Process	Health	HEALTH IS UP
Process	Happiness	HAPPY IS UP
Verticality	Emotion	HAPPINESS IS VERTICALITY
Pest	Personal weapon	GUNS ARE PESTS
Worship	Possession	GUNS ARE OBJECTS OF WORSHIP
Magic	Personal weapon	GUNS ARE MAGICAL
Addiction	Personal weapon	GUNS ARE DRUGS
Natural disaster	Personal weapon	GUNS ARE A NATURAL DISASTER
Disease	Personal weapon	GUNS ARE A DISEASE
Harm	Problem	GUN VIOLENCE IS PHYSICAL HARM
Harm	Problem	GUN VIOLENCE IS A PHYSICAL AFFLICTION
Fluid motion	Violence	GUN VIOLENCE IS A FLUID
Object	Gun rights	GUN RIGHTS ARE VALUABLE POSSESSIONS
Harm	Gun control	GUN CONTROL REGULATION IS PHYSICAL HARM
Causation	Legislative action	GUN CONTROL REGULATION IS A MOTION IMPEDIMENT
Disease	Gun control	GUN CONTROL REGULATION IS A DISEASE
Restraints	Law	GUN CONTROL LEGISLATION IS PHYSICAL RESTRAINT
Restraints	Gun control	GUN CONTROL IS PHYSICAL RESTRAINT
Harm	Advocacy	GUN CONTROL ADVOCACY IS PHYSICAL HARM
Causation	Action	GUIDED ACTION IS GUIDED MOTION ALONG A PATH
Possession	Group	GROUPS ARE POSSESSORS
Containing	Group	GROUPS ARE CONTAINERS
Body	Group	GROUP IS A BODY
Hunger	Greed	GREED IS HUNGER
Physical strength	Legislative action	GREATER DEGREE OF GUN CONTROL IS STRONGER PHYSICAL RESTRAINT
Trespassing	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS INVADING A TERRITORY
Object	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS DAMAGING A PHYSICAL STRUCTURE
Attacking	Rights	GOVERNMENT'S HARMFUL TREATMENT OF RIGHTS IS ATTACKING
Harm	Regulation	GOVERNMENT REGULATION IS SUFFOCATION
Confinement	Regulation	GOVERNMENT REGULATION IS A PHYSICAL CONSTRAINT
Burden	Regulation	GOVERNMENT REGULATION IS A BURDEN
Barrier	Regulation	GOVERNMENT REGULATION IS A BARRIER
Game	Government	GOVERNMENT IS REFEREE
Object	Government institution	GOVERNMENT IS AN ORGANISM
Person	Government	GOVERNMENT IS A SLAVE MASTER
Shepherding	Government	GOVERNMENT IS A SHEPHERD
Servant	Government	GOVERNMENT IS A SERVANT
Person	Government	GOVERNMENT IS A POLICEMAN
Person	Government	GOVERNMENT IS A PERSON
patient	Government institution	GOVERNMENT IS A PATIENT
Nuclear family	Government	GOVERNMENT IS A PARENT
Parasite	Government	GOVERNMENT IS A LEECH
Leadership	Government	GOVERNMENT IS A LEADER
Person	Action	GOVERNMENT IS A DRIVER
doctor	Action	GOVERNMENT IS A DOCTOR
disease	Government institution	GOVERNMENT IS A DISEASE
Child care	Government	GOVERNMENT IS A CHILDCARE PROVIDER
Business	Government institution	GOVERNMENT IS A BUSINESS
Object	Government institution	GOVERNMENT INSTITUTION IS A PHYSICAL STRUCTURE
Machine	Government institution	GOVERNMENT INSTITUTION IS A MACHINE
Building	Government institution	GOVERNMENT INSTITUTION IS A BUILDING
Body	Government institution	GOVERNMENT INSTITUTION IS A BODY
Verticality	Government institution	GOVERNMENT FUNCTIONALITY IS VERTICALITY
Government debt	Ocean	GOVERNMENT DEBT IS OCEAN
Verticality	Government	GOVERNMENT CONTROL IS VERTICALITY
Support	Assistance	GOVERNMENT ASSISTANCE IS SUPPORT
Entrapment	Welfare	GOVERNMENT ASSISTANCE IS A TRAP
Motion	Action	GOVERNING ACTION IS MOTION
Verticality	Goodness	GOODNESS IS VERTICALITY
Lightness	Goodness	GOODNESS IS LIGHT
Front	Time	FUTURE IS AHEAD
Verticality	Functionality	FUNCTIONALITY IS VERTICALITY
Spelling	Communication	FULLY COMMUNICATING A SEQUENCE OF THOUGHT IS SPELLING
Possession	Freedom	FREEDOM IS A VALUABLE POSSESSION
Object	Force	FORCES ARE OBJECTS
Resource	Finance	FINANCIAL RESOURCES ARE PHYSICAL RESOURCES
Insanity	Advocacy	FERVENT ADVOCACY IS INSANITY
Parasite	Limited resource	EXPLOITATION OF RESOURCES IS A PARASITIC INFECTION
Process	Existence	EXISTING IS BEING PHYSICALLY AT THIS LOCATION
Evaluation	Existence	EXISTENCE IS VISIBILITY
Obscenity	Wealth	EXCESS WEALTH IS OBSCENE
Size	Quantity	EXCESS WEALTH IS LARGE GEOGRAPHIC FEATURES
Body weight	Resource	EXCESS WEALTH IS EXCESS BODY WEIGHT
Disgusting	Wealth	EXCESS WEALTH IS DISGUSTING
Darkness	Evil	EVIL IS DARK
Object	Event	EVENTS ARE OBJECTS
Containment	Essence	ESSENTIAL IS INTERNAL
Vertical position	Equality	EQUALITY IS BEING ON THE SAME VERTICAL LEVEL
Harm	Environmental harm	ENVIRONMENTAL HARM IS PHYSICAL INJURY
Parasite	Impoverished	ENTITLEMENT HOLDERS ARE LEECHES
Possession	Rights	ENJOYING A RIGHT IS POSSESSING AN OBJECT
Causation	Legislative action	ENACTING LEGISLATION IS CAUSING MOTION ALONG A PATH
Substance	Emotion	EMOTIONS ARE SUBSTANCES
Object	Emotion	EMOTIONS ARE OBJECTS
Temperature	Emotion	EMOTIONALLY MILD IS EXPERIENCING MILD TEMPERATURE
Heat	Emotion	EMOTIONALLY INTENSE IS HOT
Temperature	Emotion	EMOTIONALLY INDIFFERENT IS COLD
Proximity	Intimacy	EMOTIONAL INTIMACY IS PHYSICAL PROXIMITY
Heat	Emotion	EMOTIONAL INTENSITY IS TEMPERATURE
Containment	Emotion	EMOTION IS PRESSURE IN A CONTAINER
Force	Emotion	EMOTION IS A FORCE
Competitive sport	Election	ELECTIONS ARE COMPETITIVE SPORTS EVENTS
War	Election	ELECTION IS WAR
Race	Election	ELECTION IS A RACE
Game	Election	ELECTION IS A GAME
Competitive sport	Election	ELECTION IS A BOXING MATCH
Body	Government institution	EFFICIENT GOVERNMENT IS A LEAN BODY
Business	Government institution	EFFECTIVE GOVERNMENT IS A WELL-MANAGED BUSINESS
Machine	Government institution	EFFECTIVE GOVERNMENT INSTITUTION IS A WELL-FUNCTIONING MACHINE
Building	Government institution	EFFECTIVE GOVERNMENT INSTITUTION IS A STRONG BUILDING
Body	Government institution	EFFECTIVE GOVERNMENT INSTITUTION IS A HEALTHY BODY
Gambling	Evaluation	EDUCATIONAL EVALUATION IS GAMBLING
Object	Education	EDUCATION IS COMPONENT OF BUILDING
Object	Education	EDUCATION IS AN OBJECT
Resource	Education	EDUCATION IS A RESOURCE
Machine	Economy	ECONOMY IS A MACHINE
Object	Economy	ECONOMY IS A COMPLEX STRUCTURE
Body	Economy	ECONOMY IS A BODY
Scale	Economic status	ECONOMIC STATUS IS A POINT ON A SCALE
Physical entity	Resource	ECONOMIC RESOURCES ARE PHYSICAL ENTITIES
Natural resource	Resource	ECONOMIC RESOURCE IS A LIMITED NATURAL RESOURCE
Harm	Economic difficulty	ECONOMIC HARDSHIP IS PHYSICAL HARM
Motion	Action	EASE OF ACTION IS EASE OF MOTION ALONG A PATH
Downward motion	Evil	DOING EVIL IS FALLING
Disgusting	Idea	DISTURBING IDEAS ARE DISGUSTING FOODS
Dividing	Distinguishing	DISTINGUISHING IS DIVIDING
Burden	Disease	DISEASES ARE BURDENS
Separation	Argument	DISAGREEMENT IS DIVISION
War	Diplomacy	DIPLOMACY IS WAR
Weight	difficulty	DIFFICULTY IS HEAVINESS
Hardness	difficulty	DIFFICULTY IS HARDNESS
Motion	Life	DIFFICULTIES IN PROGRESSING THROUGH LIFE ARE IMPEDIMENTS TO MOTION ALONG A PATH
Burden	difficulties	DIFFICULTIES IN ACTION ARE PHYSICAL BURDENS
Causation	difficulties	DIFFICULTIES ARE IMPEDIMENTS TO MOVEMENT
adversaries	Ideology	DIFFERING IDEOLOGIES ARE ADVERSARIES
Hunger	Desire	DESIRE IS HUNGER
Commodity	Ideology	DEMOCRATIC IDEOLOGY IS A COMMODITY
Decision making	Democracy	DEMOCRATIC DECISION-MAKING IS TOWNHALL DECISION-MAKING
Relationship	Democracy	DEMOCRATIC DECISION-MAKING IS PARTNERSHIP DECISION-MAKING
Partnership	Democracy	DEMOCRACY IS AN EQUAL PARTNERSHIP
Meeting	Democracy	DEMOCRACY IS A TOWN MEETING
Plants	Ideology	DEMOCRACY IS A PLANT
facade	Democracy	DEMOCRACY IS A FACADE
Bird	Democracy	DEMOCRACY IS A BIRD
Proximity	Similarity	DEGREE OF SIMILARITY IS DEGREE OF PROXIMITY
Verticality	Morality	DEGREE OF MORALITY IS PHYSICAL HEIGHT
Downward motion	Quantity	DECREASE IN QUANTITY IS DOWNWARD MOTION
