#Source	#Target	#Sentence
Race	Campaign	Last Legs of Campaign Can Decide Race
leg	campaigning	How both candidates fair in the final leg of campaigning will likely determine the winner in each state.
green	man	The young man is rather green and does not have enough experience to drive the large machinery.
withered	woman	We saw the withered old woman.
sustanance	panic	Incurable sex offenders, lousy judges and the new media: Moral panic sustenance in the age of new media
fell apart	defense	The Lakers' defense fell apart in the final quarter leading to an embarrassing upset.
door	opportunity	Opportunity is an open door.
paths	opportunity	His job offer opened up new paths of opportunity for him.
squandered	opportunity	I've squandered every opportunity to advance my career.
neighbors	Canada	Canada is by far the closest of all our neighbors.
want	Mother Nature	3rd #WinterWeatherAdvisory in 3 weeks. Think #MotherNature doesn't want an early spring :P
tease	Mother nature	Dear #Mothernature , please don't tease us Texans with this awesome weather until you plan on staying this way. Thanks:)
tries	Nature	Nature Tries to Shift Outer Banks, But Man Keeps Shoveling It Back
value	nature	... we must deepen our understanding of the economic value of nature and invest in the vital services that it provides for us, if we are to have a truly sustainable economic future.
comes	environment	To start with, everything we are made of and everything we make comes from the environment.
bully	U.S.	International Poll Finds U.S. Still Viewed As World's Bully
Outlaw	States	Great Powers and Outlaw States: Unequal Sovereigns in the International Legal Order
goalposts	debate	Obama accused the Republicans of moving the goalposts in the debate about the deficit.
Battlefield	Political	Women: We Want You on the Political Battlefield
broken	system	But Scott Brown’s win in the Massachusetts Senate race does raise a bigger question: is the system broken? I fear the answer is yes.
foundation	nation	The infrastructure that is the foundation of our nation is eroding, endangering the whole structure of our economy.
contains	nation	Our nation contains some of the best entrepreneurs in the world.
stands	United States	Only one thing stands between Western civilization and chaos: the United States.
gears	nation	Saltykov explored the psychological problems resulting from the shifting of a nation's gears, of creating a new way of life.
rouse	nation	We must rouse our nation from its slumber.
grind	country	If the President doesn't show some leadership, the country will grind to a halt.
functions	country	...and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly.
family	national	Our national arguments are family arguments, we still talk to each other at the end of the day.
parts	nation	"""Are They Parts of Our Nation? Tanzanian and Zambian University Students’ Attitude to the European and South Asian Minorities Compared"""
built	nation	No one built this country on their own. This nation is great because we built it together.
build	nation	“This is a time to build a nation, brick by brick, pillar by pillar, not a time to tear down our brothers and sisters or pillage their property,”
brick	nation	They represent the brick and mortar of our nation's developing infrastructure.
built	nation	"""Our nation is built on the bedrock principle that governments derive their just powers from the consent of the governed."""
body	nation	Within a federalist framework the nation is a body in crisis threatened from within by one of its own. It is about to be dismembered.
heart	nation	Iowa is the heart of the nation, where everyone greets you with a smile and you wave at strangers!
ship	state	Scuttling the Ship of State to appease climate activists
sink	country	Our country is burdened by debt and that may sink us in the rough waters ahead.
covered	sheep	The grazing field was covered with sheep.
expanding	number	The city is expanding the number of recycling containers in parks.
straight	god-fearing	God-fearing men must keep strictly to the straight and narrow.
take care	government	The government takes good care of its people.
bankrupt	morally	He's morally bankrupt.
flow	cash	cash flow
gushing out	money	The money is gushing out of my retirement account.
dried	money	The money is all dried up.
liquid	assets	Liquid assets.
grind	solution	We're still trying to grind out the solution to this equation.
operating	mind	My mind isn't operating today.
in	mind	It's all in your mind.
back	mind	Keep it in the back of your mind.
calculated	decision	She came to a calculated decision.
note	mental	Let me make a mental note of that.
imprinted	mind	It's imprinted in my mind forever.
applies	law	It is unclear how the new law applies to this situation.
weigh	issue	Before we draw any conclusions, we must weigh both sides of the issue.
dying	engine	The engine is dying; we need to repair it.
overpower	Obama	It was a hard-fought battle, but in the end Romney didn't have the numbers to overpower Obama.
defeat	Bush	While at first the numbers were on his side, eventually Gore had to admit defeat to Bush in 2000.
frontrunner	primary	While Perry appeared to be the frontrunner, Romney came out ahead in the GOP primary.
race	presidential	In the presidential race of 2008, John McCain came up short.
knocked out	election	During the Democratic primary in 2008, John Edwards came out swinging but was swiftly knocked out of the election.
step	life	It's time to take the next big step in my life.
far	life	She hasn't gone as far in life as her parents had hoped.
course	life	His life has taken a good course.
traveled	life	As I've traveled through life, I've made a lot of friends along the way.
direction	life	He has changed his direction in life, and taken a more spiritual path.
little	money	She has very little money.
shrink	number	The number of available parking spaces continues to shrink.
churning out	bills	Congress is producing little this election year that will become law, yet both parties are churning out bills designed to make the other side look bad.
give	idea	This gives me a great idea!
got	idea	I got a much better idea of what was going on after the last meeting.
acquired	knowledge	She had acquired an intimate knowledge of the terrain, which now helped her to travel quickly.
gave	experience	Her experience gave her a great deal of knowledge.
steering	country	The president is steering the country into unknown waters.
drove	nation	The president drove the nation into a ditch.
drove	country	Obama on GOP: 'They Drove The Country Into A Ditch...Now They Want The Keys Back'
drove	country	Where was he when he drove our country off a cliff?
head	country	Obama is the head of the country, whether some people don't like democracy or not.
grow	legislation	Out of these discussions will grow legislation of farreaching importance.
dismantle	laws	dismantle gun laws
build	law	How to Build A Law
pillars	democracy	Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time.
put my finger	idea	I've almost got an idea, but I can't quite put my finger on it.
put my finger	problem	I could never put my finger on what the problem was. I felt crazy at times and there were so many times that I would approach him with a very well-thought out ...
see	mean	I see what you mean.
see	mean	I see what you mean.
referee	judge	Feb 24, 2007 – A judge is often thought of in terms of a referree. But can a judge really be as objective as a sporting umpire?
fabric	society	Emigration has threatened to unravel the fabric of this small society.
weave	coalition	The chairman has managed to weave together quite a coalition
friend	country	Which country is your country's best friend?
appetite	learning	He has an appetite for learning.
insatiable	curiosity	He has an insatiable curiosity.
heated up	trading	Trading has really heated up this week.
walls	Church	The Crumbling Walls of the Roman Catholic Church
health	institution	May 27, 2011 – The “health” of an institution is measured by the effectiveness of its organization and mission, and also by how well it plans for the future.
vehicles	institution	I would venture to conclude from this that institutions are vehicles of subcultures driven by groups of people with a common destination
machines	institution	More especially, the analogy mentioned between institutions and machines must not be interpreted as proposing the theory that institutions are machines—in some essentialist sense.
factories	institutions	Society’s great institutions are factories of ideas, regularly churning out new frameworks, insights, and understanding.
factories	institutions	In this view, educational instititions are factories that take less productive workers as their raw materials, apply doses of training, and create more productive workers as outputs.
businesses	institutions	Religious institutions are businesses, the sermons are infomercials, the verse are nothing but commercial slogans.
Businesses	Institutions	Institutions Are Businesses, Too
blocked	legislation	Senate Republicans blocked legislation Wednesday that would have established a  billion jobs program putting veterans back to work tending to the country's federal lands and bolstering local police and fire departments.
obstruct	bill	This mini-controversy erupted when Republicans introduced a string of amendments in a final effort to obstruct passage of the reconciliation bill.
get out	information	The detective couldn't get much information out of the partial shoe print.
contain	story	Tree rings contain the story of the region.
yielded	information	It was years before the fossils yielded any valuable information.
leads	Germany	Germany Leads the World
leads	China	China leads successful wildlife crime crackdown
ladder	social	Moving up the social ladder: The bottom rung vs the top rung
diet	government	Tom Barrett: Put state government on a diet
business	government	The business of municipal government is, in general, the most poorly managed business in the world.
drowning	debt	Debt, debt, debt; we're drowning in it. This morning, the Office for National Statistics published the latest estimates of public sector borrowing. Though borrowing is falling faster than anticipated, thanks to the fact that spending cuts are finally beginning to kick in, the national debt has risen to 64.2 per cent of GDP. More significantly, we now owe more than £1 trillion, or around £16,000 for every person in the country.
transparency	government	Increasing transparency in government (title of article, International Journal on World Peace)
infected	crime	As It Opens to Outsiders, Cuba Is Infected by Crime
central	issue	The issue is central to these negotiations.
lightweight	issue	That's a lightweight issue.
substantial	problem	This is a substantive / substantial problem for us.
small	player	Texaco is a relatively small player in the California gasoline market but a bigger factor in the Eastern states that want to follow California's lead.
disintegration	moral	The consequence of idolatry is the moral disintegration of human society.
crooked	politician	He's a crooked politician.
shatter	rules	Shatter the rules of the market economy
have	idea	I have an idea.
gave	idea	She gave me a good idea.
gave birth	ideas	The theory of relativity gave birth to an enormous number of ideas in physics.
father	biology	He is the father of modern biology.
spawned	ideas	Look at what his ideas have spawned.
died	ideas	Those ideas died off in the Middle Ages.
live	ideas	His ideas will live on forever.
infancy	cognitive psychology	Cognitive psychology is still in its infancy.
resurrected	idea	That's an idea that ought to be resurrected.
breathed new life	idea	He breathed new life into that idea.
indigestible	facts	This is what happens when science serves up facts more indigestible than evolution. We end up with a society where the masses live in outright ignorance and denial, while the dominant institutions, thanks to market and political expediency, continually reorganize themselves around actionable intelligence as it comes in.
food	thought	Food for thought nust be appetizing. Chemistry students usually can write acceptable exposition if they know good writing is expected
rise	top	He'll rise to the top.
peak	career	He's at the peak of his career.
ladder	success	He's climbing the ladder of success.
hierarchy	social	They are at the bottom of the social hierarchy.
fell	status	She fell in status.
top	supervisor	He's gone over my head to the top supervisor.
down	flu	He's down with the flu.
peak	health	He's at the peak of health.
top	shape	He's in top shape.
boosted	spirits	That boosted my spirits.
rose	spirits	My spirits rose.
high	spirits	You're in high spirits.
soaring	joy	I'm soaring with joy.
fell	spirits	His spirits fell.
infested	gun	gun-infested state
altar	gun	altar of gun ownership
worship	guns	worship guns
glorify	firearms	glorify firearms
addicted	guns	The primary reason Americans are addicted to guns is due to the National Rifle Association's very effective — and immoral — campaign to instill fear into the heart of our citizens, which has paralyzed the soul of America.
avalanche	guns	avalanche of guns
disease	gun	‘America’s gun disease is a national security issue’
cancerous	gun violence	cancerous gun violence
plague	gun violence	plague of gun violence
killed	debate	Cynicism has killed the gun-control debate
saddle	gun control	saddle the American people with gun control
trap	gun control	gun control trap
sickness	gun control	gun control sickness
shackles	gun control	oppressive shackles of gun control
squashed	gun lobby	the gun lobby has squashed federal funding
guided	problem	She guided him through the problem.
walked	analysis	She walked him through the analysis.
led	course	She led him through the rough parts of the course.
belongs	cluster	The Milky Way belongs to a cluster of galaxies.
has	galaxy	Our galaxy has at least 100 billion planets.
part	group	"Earth is part of the group of ""terrestrial"" planets."
contains	group	This group contains twenty members.
in	group	There are twenty members in this group.
salivated	earning	He salivated with the thought of earning more money.
hungered	profits	The robber baron hungered for even greater profits.
moved closer	Democrats and Republicans	House Democrats and Republicans moved closer to agreeing on a budget today.
shore up	freedom	The government must shore up support for our religious freedoms.
strengthen	liberties	We need to strengthen our civil liberties.
invaded	laws	These gay marriage laws have invaded our religious rights.
stay out	government	The government needs to stay out of my bedroom.
trampling	rights	The government's move to censor the internet is trampling all over our rights to free speech and freedom of the press.
steal	rights	Overturning Roe v. Wade would steal away our right to privacy.
overstepped	wiretapping	The government overstepped a line when they proposed wiretapping citizens' phone lines.
encroaching	freedom	Gay marriage is encroaching on our religious freedoms.
chips away	freedom	Every new bill the President proposes chips away at our freedoms.
undermine	imposing	Imposing martial law will undermine the very foundations of democracy.
assault	liberties	Gun control is an assault on our civil liberties.
suffocated	regulations	The entrepreneur was suffocated by the all the onerous regulations he had to follow.
suffocated	red tape	Small business in the United States is literally being suffocated by red tape.
holding back	regulations	The restrictive regulations are holding back innovation.
handcuff	regulation	Any greater government regulation will only handcuff the industry and reduce the significant benefits hedge funds offer to the markets.
burden	regulations	The burdens of regulation on corporations hold down their profit margins.
obstacles	regulations	All these rules and regulations are obstacles to innovation.
muscle	government	China Using Government Muscle to Turbo Charge its Auto Industry
muscle	government	India government regains its muscle with reforms
referee	government	Government should be a referee, not an active player
withered	government	Withered government: leave it to the rich
living thing	government	"“Government is not a machine, but a living thing. It falls, not under the theory of the universe, but under the theory of organic life. It is accountable to Darwin, not to Newton. It is modified by its environment, necessitated by its tasks, shaped to its functions by the sheer pressure of life. No living thing can have its organs offset against each other, as checks, and live."""
slave master	government	There can be no doubt that the federal government is the new slave master, something the Founding Fathers warned us against.
Shepherds	government	Citizen Sheep Government Shepherds
shepherd	government	Such a power does not destroy, but it prevents existence; it does not tyrannize, but it compresses, enervates, extinguishes, and stupefies a people, till each nation is reduced to nothing better than a flock of timid and industrious animals, of which the government is the shepherd.
shepherd	Obama and the Progressives	Obama and the Progressives do not believe this. They believe they must decide what is best. In their view Americans are sheep and they are the shepherd.
cater	government	The government should cater to the needs of its citizens.
policeman	government	A proper government is only a policeman, acting as an agent of man’s self-defense, and, as such, may resort to force only against those who start the use of force.
loves	government	The US government loves you. In fact, it loves you so much that it’s willing shackle your legs together. Just to protect you – tough love, baby. Now, it may hurt a bit but just try to breathe through the pain. Remember – it hurts the government more than it hurts you.
infected	government	The government is infected with corruption.
cure	democracy	We must cure our ailing democracy with an infusion of new politicians.
Parent	Government	Big Father: The Government as Parent
parent	country	"Doctrine of Parens Patriae."" Parens Patriae means literally, ""parent of the country."" It refers traditionally to the role of STATE as sovereign and guardian of persons under legal disability."
lead	government	"""In my view, the federal government should lead the way.  The bill we’ve introduced requires the federal government to increase its use of renewable electricity and reduce its overall energy consumption in federal buildings, both new and old.  We can’t expect consumers to embrace energy efficient technology if their government does not do the same."""
follow	government	Parents are so uneducated about health that they will follow the government down any misguided path.
driving	government	The Syrian government is driving Syria into a dangerous zone.
steering	government	The current Japanese government is steering the country toward Socialism.
cure	government	to promote his fantasy that big government can cure our nation's ills.
Cancerous	Government	Once the stage has been set, radical surgery will be required to actually remove the malignant tumor that Cancerous Government has become.
babysitter	government	I believe in personal responsibility and the government shouldn't be a babysitter but I also believe in compassion for less advantageous people.
nanny	state	Can I decide what size soda I want to drink? No, that’s the nanny state’s job.
financial disarray	government	One of the worst-run businesses in the United States is also the largest business in the nation. The federal government is in financial disarray. It spends more than it makes and its investments are not based on sound financial principles.
topple	governments	Rising food prices can topple governments
collapse	government	Afghanistan's government could collapse after 2014.
machine	government	If the injustice is part of the necessary friction of the machine of government, let it go, let it go: perchance it will wear smooth--certainly the machine will wear out. If the injustice has a spring, or a pulley, or a rope, or a crank, exclusively for itself, then perhaps you may consider whether the remedy will not be worse than the evil; but if it is of such a nature that it requires you to be the agent of injustice to another, then I say, break the law. Let your life be a counter-friction to stop the machine. What I have to do is to see, at any rate, that I do not lend myself to the wrong which I condemn.
conduct	government	They had elected him (Jackson) to conduct the Government and to keep and remove its moneys, and he meant to do so on the principle that it was a simple machine.
shoulders	government	This responsibility falls squarely on the shoulders of the government.
toppled	government	The government was toppled.
fell	government	The government fell.
ocean	debt	The western world is drowning in an ocean of debt unlike anything the world has ever seen before
lean on	government	In times of need, the impoverished should be able to lean on our government for support.
safety net	welfare	We need welfare as a safety net.
addicted	welfare	Our country's poor are addicted to welfare.
addicts	welfare	We have a nation of welfare addicts who will always depend on the government for their next fix.
trapping	state dependency	...trapping so many people in state dependency robs them of their human dignity.
trap	welfare	[T]he federal government's welfare assistance programs intended to help those in need instead effectively trap people into dependence
handout	government	The government shouldn't just give handouts, it needs to encourage people to get jobs instead.
moved	Congress	Congress moved quickly to avoid a governmental shutdown.
took a step	state	The state took a big step toward banning assault weapons.
approach	legislature	The legislature is considering an alternative approach to deficit reduction.
roadblocks	bills	Postal Service bill faces roadblocks
path	prosperity	Our President will chart a path to prosperity.
waters	recession	We will navigate the choppy waters of recession into smooth fiscal sailing.
navigate	economy	'Pakistan's economy has ability to navigate through choppy waters'
churned out	bill	With a heavy Republican majority, Congress churned out bill after bill.
well-oiled gears	government	With a unified House and Senate, the well-oiled gears of government turn smoothly.
wheels	legislation	"""I look forward to helping keep the legislative wheels turning smoothly in our 105-day session"""
gears	legislative	Cloture would make the legislative gears turn smoothly.
spelled out	theory	The theory is spelled out in chapter 4.
letter	law	Follow the letter of the law.
well-crafted	sentence	This is a well-crafted sentence.
articulated	Promises	Promises should be articulated clearly.
large	force	A large force is needed to move a heavy object.
gave	push	She gave him a push.
gave	kick	He gave me a vicious kick.
blood	cost	Again, if by any chance, we should ultimately win out in such a war, what would it cost us in treasure and in blood?
parasites	welfare	Should Welfare parasites be allowed to bleed working Americans for the rest of their lives without attempting to help themselves?
have	headache	I have a headache.
in	love	I'm in love.
out	depression	She's out of her depression.
close	insanity	She's close to insanity.
goes	hibernation	When at rest, the computer goes into hibernation.
is at	advanced stage	He's at an advanced stage in his studies.
in	state	What state is the project in?
approaching	headache	I can feel a headache approaching
went away	symptoms	My symptoms went away.
dark forces	Satan	The Bible clearly teaches that our struggle to live righteously is a struggle against the dark forces of Satan that seeks to rule us.
shock	environment	The oil spill has caused a shock to the environment.
malaise	environmental	Smog pollution is an environmental malaise.
nursing	Bay	Ecologists are nursing the Bay back to health.
leeches	takers	"The ""takers"" in this society are leeches on the success of job creators."
reaching the end	process	We are reaching the end of the house-buying process.
reach	goals	Finally, all my educational goals are in reach.
entering	stages	We are entering the last stages of filing for bankruptcy.
push through	legislation	Democrats Push Through Historic, Controversial Health Care Legislation
move	bill	The Senate voted 92-5 Tuesday to move the bill forward to a full vote later this week.
filled	jealousy	He's filled with jealousy.
overflowing	love	She's overflowing with love.
set aside	jealousy	You have to set your jealousy aside.
hid	love	He hid his love from her.
fiery	passions	He is a man of fiery passions.
cooled off	relationship	Their relationship cooled off and they soon parted ways.
cold	unloving	His mother was always cold and unloving when he was a child.
bursting	excitement	He's bursting with excitement.
side-splittingly	funny	That joke is side-splittingly funny.
fight	White House	...the fight for the White House is being waged on intensely local terrain...
war	presidency	the war for the presidency is nearly over
fight	election	Both sides girded for battle, as they knew the general election would be a hard-won fight.
Tactics	Campaign	Campaign Craft: The Strategies, Tactics, and Art of Political Campaign Management
race	presidential	The GOP presidential race has a new front-runner: Gov. Rick Perry.
race	election	This year's US presidential election is shaping up to be a very close race, with the incumbent currently in front, but his challenger close on his heels.
finish line	election	Noem sprints to election finish line with stop in Elk Point, SD.
running	candidates	With the official start of primary season, candidates were off and running as they sought to quickly raise millions of dollars for ad buys.
marathon	primary-election	The Iowa caucuses in January 2012 serve as the starting line of the marathon primary-election campaigns necessary ...
race	governor	Hutchinson the front-runner in 2014 governor's race
chessboard	national	Too often it is post mortem head scratching, as if democratic strategists do not realize every candidate is a pawn on the national. chessboard
round	Democratic primary	Beasley won the first round of Democratic primary for lieutenant governor in 1970, but failed to win a majority.
lean	government	Randy has a plan to turn a bloated government of Washington bureaucrats into a lean and efficient government
well oiled machine	efficiency	Our state government, a well oiled machine of efficiency.
flabby	government	Like some it is supposed to serve, Massachusetts government has become flabby.
stakes	testing	Apparently, I’m not the only parent who’s concerned about high stakes testing.
resource	education	A good education is a powerful resource.
humming	economy	With The Economy Humming, Will Manufacturing Software Help Manufacturers Stay In Tune?
engine	economic	"""Although we have a long way to go before we can put this recession behind us, the gears of our economic engine do appear ... to be slowly turning once again,"""
falling apart	economy	The economy is falling apart.
health	economy	force-feed the economy back to health
makes me sick	thought	The very thought of it makes me sick.
victory	epidemic	The doctors at the CDC led the way to victory against the flu epidemic.
battle	cancer patient	The cancer patient fought a long, hard, battle, but she eventually succumbed to her disease.
war	cancer	A Triumph in the War Against Cancer
arsenal	leukemia	With nothing left in their leukemia-fighting arsenal, the doctors were down to Dilaudid, a derivative of morphine...
weapons	diplomacy	The Weapons of Diplomacy, and the Human Factor
bear	hard	This situation is hard to bear.
hard	problem	This is a very hard problem to solve.
going nowhere	life	My life is going nowhere - I'm just spinning my wheels.
hurdles	relationship	We have a lot of hurdles to get over in our relationship.
faced	problems	They faced some tough problems at the beginning of their marriage but got over them quickly.
different way	solved	She solved the problem a different way.
cultivate	openness	Tips on how to cultivate openness to change.
sale	democracy	democracy for sale
seeds	democracy	plant the seeds of democracy
blossoms	democracy	democracy blossoms
fledging	democracy	fledgling democracy
wings	democracy	democracy spreads its wings
high	moral standards	He is a person of very high moral standards.
holding back	" debt"	Debt is holding me back from reaching my goals.
growing	debt	Credit card debt has been growing significantly
strike blows	Obama and Romney	Obama and Romney Strike Blows Over Benghazi
attacked	criticism	He attacked the speaker with harsh words of criticism.
beast	crime	Crime is a beast ravaging the city.
infected	crime	Crime has infected communities everywhere.
grow	legislation	Out of these discussions will grow legislation of farreaching importance.
eroding	corruption	Corruption is eroding the public trust in government.
termites	corruption	Our nation has been infested with the termites of corruption, the worms of immorality, and a virus of indifference and apathy.
cancer	corruption	Our government is afflicted with the cancer of corruption.
infecting	corrupt officials	Corrupt officials are infecting our government at every level.
wave	corruption	California Cities Struggling Under Wave of Corruption
tsunami	corruption	FIFA facing corruption 'tsunami'
under	control	Relax. We've got everything under control.
high	command	He's in the high command.
upper	echelon	He's in the upper echelon.
rose	power	His power rose.
hold	power	The president kept his hold on power.
regained	control	She regained control of the assembly.
beyond	control	His actions are beyond my control.
out	control	The whole situation spiraled out of (our) control.
returned	power	He returned to power.
in	control	The president is in control of the executive branch.
gobbling up	fossil fues	Developing nations are gobbling up our fossil fuels at any alarming rate.
appetite	consume	The United States' insatiable appetite for electronics will entirely consume our supply of rare metals.
guzzler	gas	This SUV sure is a gas guzzler.
eating away	forests	Demand for paper goods is eating away at our planet's forests.
trump	Constitutional rights	“Your dead kids don’t trump my Constitutional rights.”
up	wake	Wake up!
drove	vanity	Vanity finally drove me to have the operation.
pulling ahead	playing	We’ve been playing chess for years, and he’s finally pulling ahead of me.
better writer	widening	He’s a better writer than I am, and he’s widening the distance.
restructure	firm	We have to restructure this firm.
gave	idea	You gave me a great idea!
pack	words	Try to pack more thoughts into fewer words.
capturing	words	Whenever you have a good idea practice capturing it in words.
across	thoghts	Try to get your thoughts across better.
give	idea	You still have to give me an idea of what you mean.
racing	mind	My mind was racing.
tired	mind	My mind is tired.
slavery	individuals	This new slavery is a total dependence by individuals and families on government for the materials and funds necessary to maintain a minimum standard of living.
enslaved	state	...the people of America’s needs and priorities become second to the needs of the state and the people of America become enslaved to the state.
eyes and ears	citizens	Snitch Culture: How Citizens are Turned into the Eyes and Ears of the State
protect	rights	We need to protect our rights from infringement.
protect	rights	Do gun rights protect against tyranny?
