Conceptual metaphor,Sentence,Source,Target,Type
TAXATION IS A BURDEN,President Obama decided to target certain and specific products or services he deems unhealthy and levied heavy taxes on them.,heavy,taxes,AN
TAXATION IS A BURDEN,Remember when President Obama literally laughed out loud at the idea his health-care plan would impose taxes on the middle class?,impose,taxes,VN
TAXATION IS A BURDEN,"The new president delivered on his tax cut promises, which, combined with a recession in 2001, caused the tax burden to fall considerably.",burden,tax,NN
TAXATION IS A BURDEN,New Taxes Burdensome for Farm and Ranch Families,burdensome,taxes,AN
SYMPATHY IS WARMTH,She's cold as ice.,,,-
SUBJUGATION IS DOWN,He is under my control.,under,control,-
SUBJUGATION IS DOWN,He fell from power.,fell,power,VN
SUBJUGATION IS DOWN,His power is on the decline.,decline,power,NN
STATUS IS VERTICALITY,He has a lofty position.,,,-
STATUS IS VERTICALITY,She fell in status.,fell,status,VN
STATUS IS VERTICALITY,He's a social climber.,climber,social,AN
STATUS IS VERTICALITY,I reached a plateau in my career some years back.,plateau,career,NN
STATE OF NATION IS LOCATION ALONG PATH,East Timor took the first steps toward independence in the 1990s.,steps,independence,NN
STATE OF NATION IS LOCATION ALONG PATH,The country is slowly moving out of recession.,moving,recession,VN
SOLVING A PROBLEM IS FIXING A BROKEN OBJECT,Pam Gulleson: “Social Security Isn’t Broken”,,,-
SOLVING A PROBLEM IS FIXING A BROKEN OBJECT,Hempsted Building Department is broken,,,-
SOCIETY IS A PERSON,Our society is suffering from many social problems.,suffering,society,VN
SOCIETY IS A COMPLEX STRUCTURE,"Functionalism interprets each part of society in terms of how it contributes to the stability of the whole society. Society is more than the sum of its parts; rather, ...",part,society,NN
SOCIAL PROBLEMS ARE PHYSICAL AFFLICTIONS,A cure for social ills? Prevention,ills,social,AN
SOCIAL PROBLEMS ARE PHYSICAL AFFLICTIONS,UW researcher is a leader in showing how prevention techniques can pay off in curing social problems.,curing,problem,VN
SOCIAL PROBLEMS ARE DISEASES,Our society is turning gangrene with dishonesty.,gangrene,dishonesty,NN
SOCIAL PROBLEMS ARE DISEASES,اینگونه جنبشهای اجتماعی (social movements) در واقع یک بیماری اجتتماعی هستند.,,,-
SOCIAL ORGANIZATIONS ARE PLANTS,My business is growing like a weed.,growing,business,VN
SOCIAL GROUPS ARE CONTAINERS,Our circle of friends is quite diverse.,circle,friends,NN
SOCIAL GROUPS ARE CONTAINERS,He's hasn't penetrated that group.,penetrated,group,VN
SOCIAL GROUPS ARE BUILDINGS,He's about to rock the foundations of the literary establishment with his novel.,foundations,establishment,NN
SOCIAL GROUPS ARE BUILDINGS,"By early afternoon, queues were already building up.",building,queues,VN
SOCIAL GROUP IS A FABRIC,Cop scandals fray the social fabric.,fabric,social,AN
SOCIAL GROUP IS A FABRIC,"Thus, we must reweave the torn fabric of rural American with thread strong enough to withstand the inevitable ravages of time.",,,-
SIMILARITY IS PROXIMITY,Her hair is very near to his in color.,near,color,AN
SIMILARITY IS PROXIMITY,That's far from a perfect circle.,far,perfect,AA
SICKNESS IS DOWN,He's sinking fast.,,,-
SICKNESS IS DOWN,He came down with the flu.,,,-
SEQUENCE OF ACTIONS IS A SEQUENCE OF MOVEMENTS,"Create a complete, measurable, action plan which includes all the steps necessary to achieve your goal.",,,-
SENSING IS SMELLING,I smell a rat.,,,-
SELF-INITIATED STATE CHANGE IS SELF-PROPELLED MOTION,She climbed out of poverty.,,,-
SELECTION IS ADOPTION,They adopted the customs of their neighbors.,adopted,customs,VN
SEEKING KNOWLEDGE IS SEARCHING,He's looking for meaning in his life and isn't finding any.,looking for,meaning,VN
SEEING IS TOUCHING,His eyes scoured the horizon.,scoured,horizon,VN
SCALES ARE PATHS,The temperature shot up.,shot up,temperature,VN
SCALES ARE PATHS,Fuel consumption rose to the highest it has been in 20 years.,rose,consumption,VN
SAD IS DOWN,I'm feeling down.,,,-
SAD IS DOWN,I'm depressed.,,,-
SAD IS DOWN,He's really low these days.,,,-
SAD IS DOWN,I fell into a depression.,,,-
SAD IS DOWN,My spirits sank.,sank,spirits,VN
ROMANTIC RELATIONSHIPS ARE VEHICLES,Our relationship is veering off-course.,veering,relationship,VN
ROMANTIC RELATIONSHIP IS A JOURNEY,Where are we in this relationship?,,,-
ROMANTIC RELATIONSHIP IS A JOURNEY,It feels like this relationship is going nowhere.,going,relationship,VN
ROMANTIC RELATIONSHIP ENCOUNTERING DIFFICULTIES IS A VEHICLE ENCOUNTERING OBSTACLES,Our relationship is losing steam.,,,-
REVOLUTION IS TOPPLING A PHYSICAL OBJECT,The coup toppled the brutal dictatorship.,toppled,dictatorship,VN
REVOLUTION IS TOPPLING A PHYSICAL OBJECT,The Revolutionary and Napoleonic Wars tore down the ancient structure of Europe,structure,Europe,NN
RELATIONSHIPS ARE PHYSICAL STRUCTURES,Their relationship is built on a solid foundation of trust and commitment.,built,relationship,VN
RELATIONSHIPS ARE OBJECTS,Our relationship is rock solid.,solid,relationship,AN
RELATIONSHIPS ARE OBJECTS,She has a fragile relationship with her mother as it is.,fragile,relationship,AN
RELATIONSHIPS ARE CONTAINERS,She's trapped in a relationship with a scumbag.,,,-
RELATIONSHIPS ARE CONTAINERS,They had a falling out.,,,-
RELATIONSHIPS ARE COMPLEX STRUCTURES,It takes work to build any relationship.,build,relationship,VN
RELATIONSHIPS ARE COMPLEX STRUCTURES,The relationship fell apart.,,,-
RELATEDNESS IS PROXIMITY,These ideas are closely related.,closely,related,AR
REFINING A LAW IS TRIMMING A PLANT,"I concede that it has become indispensable to prune legislation, but it seems to me that this must be done with prudence and thought.",prune,legislation,VN
QUANTITY IS VERTICALITY,The number of books printed each year keeps going up.,,,-
QUANTITY IS VERTICALITY,His income fell last year.,fell,income,VN
QUANTITY IS SIZE,What is the size of your bank account?,size,bank account,NN
QUANTITY IS SIZE,He doesn't know how big our national debt is.,big,debt,AN
QUALITIES ARE SUBSTANCES,He has a lot of smarts.,,,-
QUALITIES ARE SUBSTANCES,He's devoid of common sense.,,,-
PURPOSEFUL THINKING IS GOAL-DIRECTED MOTION,We are trying to find the most elegant approach to solving this problem.,approach,solving,VN
PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,She made great strides in her dissertation.,strides,dissertation,NN
PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,We are sliding backward.,,,-
PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,We are moving ahead.,,,-
PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,We are going nowhere with this.,,,-
PURPOSEFUL ACTION IS SELF-PROPELLED MOTION TO A DESTINATION,We have taken the first step.,,,-
PURITY IS CLEANLINESS,He's pure evil.,,,-
PURITY IS CLEANLINESS,Her soul was scrubbed clean of impurities.,scrubbed clean,soul,VN
PURIFYING IS CLEANSING,You must cleanse your soul of sin.,cleanse,soul,VN
PURIFYING IS CLEANSING,The impure must be washed clean through contrition.,washed,impure,VN
PUBLIC EVALUABILITY OF GOVERMNENT IS TRANSPARENCY,Increased transparency has increased the public's confidence in government.,,,-
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,It was a traumatic experience.,,,-
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,Her death hurt him.,,,-
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,The accusation wounded her.,wounded,accusation,VN
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,He’s mentally ill/fit.,,,-
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,My pride was wounded.,wounded,pride,VN
PSYCHOLOGICAL HARM IS PHYSICAL INJURY,"She recovered from the wound to her psyche, but scars remained.",wound,psyche,NN
PROVING IS SHOWING,The marks on the carpet show that the perpetrator wore boots.,,,-
PROGRESSING THROUGH LIFE IS MOVING THROUGH A TERRAIN,He's over the hill.,,,-
PROGRESSING THROUGH LIFE IS MOVING THROUGH A TERRAIN,She's past her peak.,,,-
PROGRESSING THROUGH LIFE IS MOVING THROUGH A TERRAIN,Life is full of peaks and valleys.,peaks,life,NN
PROGRESSING THROUGH LIFE IS MOVING ALONG A PATH,"He made it this far in life without a partner, he can survive without one going forward.",,,-
PROGRESS IS FORWARD MOTION ALONG A PATH,He hadn't made much headway in writing the termpaper.,headway,writing,VN
PROGRESS IS FORWARD MOTION ALONG A PATH,Let's keep moving forward on this experiment.,,,-
PROGRESS IS FORWARD MOTION ALONG A PATH,I'm afraid I haven't gotten very far in grading the exams.,,,-
PREVENTING ENACTMENT OF LEGISLATION IS BLOCKING MOTION,House Republicans blocked the Democrats' attempts to move forward with the healthcare bill.,move forward,bill,VN
PREVENTING ENACTMENT OF LEGISLATION IS BLOCKING MOTION,The Senator's filibuster halted the passage of the bill.,passage,bill,NN
PREVENTED CHANGE OF STATE IS PREVENTED CHANGE OF LOCATION,"He's holding you back, you need to leave him.",,,-
PREVENTED CHANGE OF STATE IS PREVENTED CHANGE OF LOCATION,I'm going to the top and nothing will stand in my way.,,,-
PREPARING IDEAS TO BE UNDERSTOOD IS FOOD PREPARATION,They're just half-baked ideas.,half-baked,ideas,AN
PREPARING IDEAS TO BE UNDERSTOOD IS FOOD PREPARATION,Just give me the raw facts.,raw,facts,AN
PREPARING IDEAS TO BE UNDERSTOOD IS FOOD PREPARATION,I need to put this on the back burner for a while.,,,-
POWER IS A POSSESSED OBJECT,He holds all the power.,holds,power,VN
POVERTY IS A WEED,We are not free from the creeping vines of poverty.,vines,poverty,NN
POVERTY IS A WEED,Mother Martha is working to loosen the strangling weeds of poverty and watching children blossom and thrive under her care.,weeds,poverty,NN
POVERTY IS A MOTION IMPEDIMENT,"Though politically the country is free, its people remain chained by poverty.",chained,poverty,VN
POVERTY IS A DISEASE,"The epidemic of poverty is spreading in America, and it's taking its toll on American families.",epidemic,poverty,NN
POVERTY IS A DISEASE,"As President Obama has said, we can't treat the symptoms of poverty in isolation.",symptoms,poverty,NN
POVERTY IS A CRIME,He appealed to logos (logic) by trying to analyze why poverty is a crime and tries to differentiate it from being poor.,crime,poverty,NN
POLITICIANS ARE STAGE ACTORS,The President played his part magnificently.,,,-
POLITICAL UNREST IS A WILDFIRE,The wildfire of revolution rapidly spread throughout the land.,wildfire,revolution,NN
POLITICAL UNREST IS A WILDFIRE,,,,-
POLITICAL REGION IS A VEHICLE,They are rocking the ship of state.,ship,state,NN
POLITICAL REGION IS A VEHICLE,Dirt threatens to sink ship of state,ship,state,NN
PHYSICAL STRENGTH IS VERTICALITY,His strength declined as he aged.,declined,strength,VN
PHASE OF AN ELECTION IS LEG IN A RACE,"As Election Day drew near, the candidates pulled into the final lap of the race.",race,Election,NN
PHASE OF AN ELECTION IS LEG IN A RACE,Last Legs of Campaign Can Decide Race,Race,Campaign,NN
PHASE OF AN ELECTION IS LEG IN A RACE,How both candidates fair in the final leg of campaigning will likely determine the winner in each state.,leg,campaigning,NN
PEOPLE ARE PLANTS,Bloom where you are planted.,,,-
PEOPLE ARE PLANTS,The young man is rather green and does not have enough experience to drive the large machinery.,,,-
PEOPLE ARE PLANTS,We saw the withered old woman.,,,-
Ongoing causation is nourishing,"Incurable sex offenders, lousy judges and the new media: Moral panic sustenance in the age of new media",sustanance,panic,NN
ORGANIZATION IS PHYSICAL STRUCTURE,The Lakers' defense fell apart in the final quarter leading to an embarrassing upset.,fell apart,defense,VN
ORGANIZATION IS PHYSICAL STRUCTURE,Which part of the theory don't you agree with?,,,-
ORGANIZATION IS PHYSICAL STRUCTURE,I admire the way this automated collection system is put together.,,,-
ORGANIZATION IS A MACHINE,"Since the enactment of SB 163 (Evans), the three branches of state government have been working smoothly in the transition process called for in that landmark legislation.",,,-
OPPORTUNITIES ARE PORTALS,Opportunity is an open door.,door,opportunity,NN
OPPORTUNITIES ARE PATHS,His job offer opened up new paths of opportunity for him.,paths,opportunity,NN
OPPORTUNITIES ARE OBJECTS,We've got plenty of chances left.,,,-
OPPORTUNITIES ARE OBJECTS,I've squandered every opportunity to advance my career.,squandered,opportunity,VN
NONVISUAL PERCEPTUAL SPACE IS PHYSICAL SPACE,Here comes the beep!,,,-
NEARBY COUNTRIES ARE NEIGHBORS,Canada is by far the closest of all our neighbors.,neighbors,Canada,NN
NATURE IS AN AGENT,3rd #WinterWeatherAdvisory in 3 weeks. Think #MotherNature doesn't want an early spring :P,want,#MotherNature,VN
NATURE IS AN AGENT,"Dear #Mothernature , please don't tease us Texans with this awesome weather until you plan on staying this way. Thanks:)",tease,#Mothernature,VN
NATURE IS AN AGENT,"Nature Tries to Shift Outer Banks, But Man Keeps Shoveling It Back",tries,Nature,VN
NATURE IS A RESOURCE,"... we must deepen our understanding of the economic value of nature and invest in the vital services that it provides for us, if we are to have a truly sustainable economic future.",value,nature,NN
NATURE IS A RESOURCE,"To start with, everything we are made of and everything we make comes from the environment.",comes,environment,VN
NATIONS WHO ABUSE POWER ARE BULLIES,International Poll Finds U.S. Still Viewed As World's Bully,bully,U.S.,NN
NATIONS NOT ABIDING BY INTERNATIONAL LAW ARE OUTLAWS,Great Powers and Outlaw States: Unequal Sovereigns in the International Legal Order,Outlaw,States,
NATIONAL POLITICS IS A STAGE,"Romney Back on National Stage, If Only Briefly",,,-
NATIONAL POLITICS IS A SPORTS FIELD,Obama accused the Republicans of moving the goalposts in the debate about the deficit.,goalposts,debate,NN
NATIONAL POLITICS IS A BATTLEFIELD,Could Texas be a battleground state?,,,-
NATIONAL POLITICS IS A BATTLEFIELD,Women: We Want You on the Political Battlefield,Battlefield,Political,AN
NATIONAL POLITICAL FUNCTIONALITY IS PHYSICAL INTEGRITY,But Scott Brown’s win in the Massachusetts Senate race does raise a bigger question: is the system broken? I fear the answer is yes.,broken,system,AN
NATIONAL INFRASTRUCTURE IS A BUILDING,Infrastructure: The Foundation for Wealth and Poverty Reduction,,,-
NATIONAL INFRASTRUCTURE DETERIORATION IS BUILDING EROSION,"The infrastructure that is the foundation of our nation is eroding, endangering the whole structure of our economy.",foundation,nation,NN
NATION IS CONTAINER,Our nation contains some of the best entrepreneurs in the world.,contains,nation,VN
NATION IS AN OBJECT,Only one thing stands between Western civilization and chaos: the United States.,stands,United States,VN
NATION IS A VEHICLE,"Saltykov explored the psychological problems resulting from the shifting of a nation's gears, of creating a new way of life.",gears,nation,NN
NATION IS A PERSON,We must rouse our nation from its slumber.,rouse,nation,VN
NATION IS A MACHINE,"If the President doesn't show some leadership, the country will grind to a halt.",grind,country,VN
NATION IS A MACHINE,...and asked them to be serious towards bringing a full-fledged budget at the earliest to ensure that the country functions smoothly.,functions,country,VN
NATION IS A FAMILY,"Our national arguments are family arguments, we still talk to each other at the end of the day.",family,national,AN
NATION IS A COMPLEX STRUCTURE,"""Are They Parts of Our Nation? Tanzanian and Zambian University Students’ Attitude to the European and South Asian Minorities Compared""",parts,nation,NN
NATION IS A COMPLEX STRUCTURE,No one built this country on their own. This nation is great because we built it together.,built,nation,VN
NATION IS A BUILDING,"“This is a time to build a nation, brick by brick, pillar by pillar, not a time to tear down our brothers and sisters or pillage their property,”",build,nation,VN
NATION IS A BUILDING,They represent the brick and mortar of our nation's developing infrastructure.,brick,nation,NN
NATION IS A BUILDING,"""Our nation is built on the bedrock principle that governments derive their just powers from the consent of the governed.""",built,nation,VN
NATION IS A BODY,Within a federalist framework the nation is a body in crisis threatened from within by one of its own. It is about to be dismembered.,body,nation,NN
NATION IS A BODY,"Iowa is the heart of the nation, where everyone greets you with a smile and you wave at strangers!",heart,nation,NN
NATION IS A BOAT,Scuttling the Ship of State to appease climate activists,ship,state,NN
NATION IS A BOAT,Our country is burdened by debt and that may sink us in the rough waters ahead.,sink,country,VN
MULTIPLICITY IS MASS,The grazing field was covered with sheep.,covered,sheep,VN
MORE IS UP,The price of stocks rose.,,,-
MORE IS UP,My to-do list is piling up!,,,-
MORE IS BIG,He is trying to pay off his huge debt.,,,-
MORE IS BIG,The city is expanding the number of recycling containers in parks.,expanding,number,VN
MORALITY IS UPRIGHTNESS,He's an upstanding citizen.,,,-
MORALITY IS UPRIGHTNESS,That was a low thing to do.,,,-
MORALITY IS UPRIGHTNESS,He's a snake in the grass.,,,-
MORALITY IS STRAIGHTNESS,Be straight with me.,,,-
MORALITY IS STRAIGHTNESS,He's a crooked businessman.,,,-
MORALITY IS PURITY,"He's pure of heart, and therefore would never hurt someone.",,,-
MORALITY IS A STRAIGHT PATH,He is a deviant.,,,-
MORALITY IS A STRAIGHT PATH,He deviated from the straight and narrow.,,,-
MORALITY IS A STRAIGHT PATH,She strayed.,,,-
MORAL IS STRAIGHT,Be straight with me.,,,-
MORAL IS STRAIGHT,God-fearing men must keep strictly to the straight and narrow.,straight,god-fearing,AN
MORAL AGENTS ARE NURTURING PARENTS,The government takes good care of its people.,take care,government,VN
MORAL AGENTS ARE NURTURING PARENTS,The CEO looks after her employees with motherly kindness.,,,
MORAL AGENTS ARE NURTURING PARENTS,"With gentle care and attention, the pastor's congregation will flourish.",,,
MORAL ACTION IS A FINANCIAL TRANSACTION,He's morally bankrupt.,bankrupt,morally,DN
MONEY TRANSFER IS FLUID MOTION,cash flow,flow,cash,NN
MONEY TRANSFER IS FLUID MOTION,The money is gushing out of my retirement account.,gushing out,money,VN
MONEY IS A LIQUID,The money is all dried up.,dried,money,AN
MONEY IS A LIQUID,Liquid assets.,liquid,assets,AN
MONEY IS A LIQUID,Currency,,,-
MONEY IS A LIQUID,He's just sponging off of you.,,,-
MIND IS A MACHINE,We're still trying to grind out the solution to this equation.,grind,solution,VN
MIND IS A MACHINE,My mind isn't operating today.,operating,mind,VN
MIND IS A MACHINE,Boy the wheels are turning now!,,,-
MIND IS A MACHINE,I'm a little rusty today.,,,-
MIND IS A MACHINE,We've been working on this problem all day and now we're running out of steam.,,,-
MIND IS A CONTAINER,It's all in your mind.,in,mind,DN
MIND IS A CONTAINER,Keep it in the back of your mind.,back,mind,DN
MIND IS A COMPUTER,She came to a calculated decision.,calculated,decision,AN
MIND IS A BODY,Do the exercises at the end of this chapter.,,,-
MEMORIZATION IS WRITING,Let me make a mental note of that.,note,mental,AN
MEMORIZATION IS WRITING,It's imprinted in my mind forever.,imprinted,mind,VN
MEANS ARE PATHS,Do it this way.,,,-
MEANS ARE PATHS,However you want to go about it is fine with me,,,-
MANNER OF ACTION IS MANNER OF MOVEMENT,We're skipping right along.,,,-
MANNER OF ACTION IS MANNER OF MOVEMENT,I'm walking on egg shells.,,,-
MANNER OF ACTION IS MANNER OF MOVEMENT,We slogged through it.,,,-
MAKING RELATED IS CAUSING CONTACT,It is unclear how the new law applies to this situation.,applies,law,VN
MAKING A DECISION IS WEIGHING,"Before we draw any conclusions, we must weigh both sides of the issue.",weigh,issue,VN
MACHINES ARE PEOPLE,The engine is dying; we need to repair it.,dying,engine,VN
LOW STATUS IS DOWN,He is low on the totem pole.,,,-
LOSING AN ELECTION IS LOSING A WAR,"It was a hard-fought battle, but in the end Romney didn't have the numbers to overpower Obama.",overpower,Obama,VN
